,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),KLOGH (MD)
61,3675.888,0.118618,0.0,0.0,0.233829,0.8,2.66,0.0216071,0.0,0.5073,112.9464,0.644859,0.0
62,3676.0404,0.114039,0.0,0.0,0.199062,0.8,2.66,0.0216065,0.0,0.5729,112.9501,0.645614,0.0
63,3676.1928,0.113847,0.0,0.0,0.199996,0.8,2.66,0.021606,0.0,0.5692,112.9537,0.646369,0.0
64,3676.3452,0.115696,0.0,0.0,0.22035,0.8,2.66,0.0216054,0.0,0.5251,112.9573,0.647125,0.0
65,3676.4976,0.110818,0.0,0.0,0.194725,0.8,2.66,0.0216048,0.0,0.5691,112.961,0.64788,0.0
66,3676.65,0.116367,0.0,0.0,0.234788,0.8,2.66,0.0216042,0.0,0.4956,112.9646,0.6486350000000001,0.0
67,3676.8024,0.11864,0.0,0.0,0.247799,0.8,2.66,0.0216035999999999,0.0,0.4788,112.9682,0.6493899999999999,0.0
68,3676.9548,0.107397,0.0,0.0,0.169128,0.8,2.66,0.021603,0.0,0.635,112.9719,0.650145,0.0
69,3677.1072,0.112453,0.0,0.0,0.2025549999999999,0.8,2.66,0.0216024,0.0,0.5552,112.9755,0.6509,0.0
70,3677.2596,0.114665,0.0,0.0,0.223573,0.8,2.66,0.0216019,0.0,0.5129,112.9791,0.651655,0.0
71,3677.412,0.110302,0.0,0.0,0.197416,0.8,2.66,0.0216013,0.0,0.5587,112.9828,0.65241,0.0
72,3677.5644,0.112049,0.0,0.0,0.2090929999999999,0.8,2.66,0.0216007,0.0,0.5359,112.9864,0.653165,0.0
73,3677.7168,0.10928,0.0,0.0,0.189326,0.8,2.66,0.0216000999999999,0.0,0.5772,112.99,0.65392,0.0
74,3677.8692,0.11242,0.0,0.0,0.212275,0.8,2.66,0.0215995,0.0,0.5296,112.9937,0.654675,0.0
75,3678.0216,0.114034,0.0,0.0,0.230038,0.8,2.66,0.0215989,0.0,0.4957,112.9973,0.6554300000000001,0.0
76,3678.174,0.112673,0.0,0.0,0.225823,0.8,2.66,0.0215984,0.0,0.4989,113.001,0.656185,0.0
77,3678.3264,0.111967,0.0,0.0,0.2225929999999999,0.8,2.66,0.0215977999999999,0.0,0.503,113.0046,0.65694,0.0
78,3678.4788,0.110855,0.0,0.0,0.215083,0.8,2.66,0.0215972,0.0,0.5154,113.0082,0.6576960000000001,0.0
79,3678.6312,0.1094369999999999,0.0,0.0,0.205415,0.8,2.66,0.0215965999999999,0.0,0.5328,113.0119,0.658451,0.0
80,3678.7836,0.109785,0.0,0.0,0.208589,0.8,2.66,0.021596,0.0,0.5263,113.0155,0.6592060000000001,0.0
81,3678.936,0.109016,0.0,0.0,0.207531,0.8,2.66,0.0215954,0.0,0.5253,113.0191,0.659961,0.0
82,3679.0884,0.1092539999999999,0.0,0.0,0.219844,0.8,2.66,0.0215949,0.0,0.497,113.0228,0.660716,0.0
83,3679.2408,0.107949,0.0,0.0,0.2220349999999999,0.8,2.66,0.0215942999999999,0.0,0.4862,113.0264,0.661471,0.0
84,3679.3932,0.1077119999999999,0.0,0.0,0.22365,0.8,2.66,0.0215937,0.0,0.4816,113.03,0.662226,0.0
85,3679.5456,0.109191,0.0,0.0,0.227405,0.8,2.66,0.0215930999999999,0.0,0.4802,113.0337,0.662981,0.0
86,3679.698,0.1086099999999999,0.0,0.0,0.2108179999999999,0.8,2.66,0.0215925,0.0,0.5152,113.0373,0.663736,0.0
87,3679.8504,0.105571,0.0,0.0,0.180764,0.8,2.66,0.0215919,0.0,0.584,113.0409,0.6644909999999999,0.0
88,3680.0028,0.107822,0.0,0.0,0.191891,0.8,2.66,0.0215914,0.0,0.5619,113.0446,0.665246,0.0
89,3680.1552,0.111043,0.0,0.0,0.217105,0.8,2.66,0.0215908,0.0,0.5115,113.0482,0.6660010000000001,0.0
90,3680.3076,0.1116119999999999,0.0,0.0,0.225773,0.8,2.66,0.0215902,0.0,0.4944,113.0518,0.666756,0.0
91,3680.46,0.111522,0.0,0.0,0.226878,0.8,2.66,0.0215895999999999,0.0,0.4916,113.0555,0.667511,0.0
92,3680.6124,0.111876,0.0,0.0,0.2311659999999999,0.8,2.66,0.0215889999999999,0.0,0.484,113.0591,0.668267,0.0
93,3680.7648,0.110867,0.0,0.0,0.2279699999999999,0.8,2.66,0.0215884,0.0,0.4863,113.0627,0.669022,0.0
94,3680.9172,0.109263,0.0,0.0,0.2220659999999999,0.8,2.66,0.0215879,0.0,0.492,113.0664,0.6697770000000001,0.0
95,3681.0696,0.109654,0.0,0.0,0.2322179999999999,0.8,2.66,0.0215873,0.0,0.4722,113.07,0.670532,0.0
96,3681.222,0.106558,0.0,0.0,0.216193,0.8,2.66,0.0215867,0.0,0.4929,113.0736,0.671287,0.0
97,3681.3744,0.106822,0.0,0.0,0.224162,0.8,2.66,0.0215861,0.0,0.4765,113.0773,0.672042,0.0
98,3681.5268,0.104989,0.0,0.0,0.211877,0.8,2.66,0.0215855,0.0,0.4955,113.0809,0.672797,0.0
99,3681.6792,0.1059,0.0,0.0,0.21879,0.8,2.66,0.0215849,0.0,0.484,113.0845,0.673552,0.0
100,3681.8316,0.106323,0.0,0.0,0.223101,0.8,2.66,0.0215844,0.0,0.4766,113.0882,0.674307,0.0
101,3681.984,0.105895,0.0,0.0,0.221512,0.8,2.66,0.0215838,0.0,0.4781,113.0918,0.6750619999999999,0.0
102,3682.1364,0.1071589999999999,0.0,0.0,0.232751,0.8,2.66,0.0215832,0.0,0.4604,113.0954,0.675817,0.0
103,3682.2888,0.105397,0.0,0.0,0.2188719999999999,0.8,2.66,0.0215826,0.0,0.4815,113.0991,0.6765720000000001,0.0
104,3682.4412,0.106302,0.0,0.0,0.225244,0.8,2.66,0.021582,0.0,0.4719,113.1027,0.677327,0.0
105,3682.5936,0.103468,0.0,0.0,0.2043839999999999,0.8,2.66,0.0215815,0.0,0.5062,113.1063,0.678082,0.0
106,3682.746,0.104798,0.0,0.0,0.219296,0.8,2.66,0.0215809,0.0,0.4779,113.1099,0.678838,0.0
107,3682.8984,0.103569,0.0,0.0,0.2214969999999999,0.8,2.66,0.0215803,0.0,0.4676,113.1136,0.679593,0.0
108,3683.0508,0.103415,0.0,0.0,0.238642,0.8,2.66,0.0215797,0.0,0.4333,113.1172,0.680348,0.0
109,3683.2032,0.0996399999999999,0.0,0.0,0.223715,0.8,2.66,0.0215791,0.0,0.4454,113.1208,0.681103,0.0
110,3683.3556,0.098933,0.0,0.0,0.224727,0.8,2.66,0.0215785,0.0,0.4402,113.1245,0.681858,0.0
111,3683.508,0.102452,0.0,0.0,0.25472,0.8,2.66,0.021578,0.0,0.4022,113.1281,0.682613,0.0
112,3683.6604,0.103085,0.0,0.0,0.258587,0.8,2.66,0.0215774,0.0,0.3986,113.1317,0.683368,0.0
113,3683.8128,0.102663,0.0,0.0,0.2548539999999999,0.8,2.66,0.0215768,0.0,0.4028,113.1353,0.6841229999999999,0.0
114,3683.9652,0.100774,0.0,0.0,0.24038,0.8,2.66,0.0215762,0.0,0.4192,113.139,0.684878,0.0
115,3684.1176,0.1016659999999999,0.0,0.0,0.255853,0.8,2.66,0.0215755999999999,0.0,0.3974,113.1426,0.685633,0.0
116,3684.27,0.10061,0.0,0.0,0.2575199999999999,0.8,2.66,0.0215750999999999,0.0,0.3907,113.1462,0.686388,0.0
117,3684.4224,0.09799,0.0,0.0,0.244139,0.8,2.66,0.0215745,0.0,0.4014,113.1499,0.6871430000000001,0.0
118,3684.5748,0.09618,0.0,0.0,0.238731,0.8,2.66,0.0215739,0.0,0.4029,113.1535,0.687898,0.0
119,3684.7272,0.094422,0.0,0.0,0.2387099999999999,0.8,2.66,0.0215733,0.0,0.3956,113.1571,0.688653,0.0
120,3684.8796,0.095737,0.0,0.0,0.276196,0.8,2.66,0.0215727,0.0,0.3466,113.1607,0.689409,0.0
121,3685.032,0.094144,0.0,0.0,0.284377,0.8,2.66,0.0215722,0.0,0.3311,113.1644,0.690164,0.0
122,3685.1844,0.096716,0.0,0.0,0.32243,0.8,2.66,0.0215715999999999,0.0,0.3,113.168,0.690919,0.0
123,3685.3368,0.094324,0.0,0.0,0.273313,0.8,2.66,0.021571,0.0,0.3451,113.1716,0.691674,0.0
124,3685.4892,0.098086,0.0,0.0,0.2816869999999999,0.8,2.66,0.0215704,0.0,0.3482,113.1752,0.692429,0.0
125,3685.6416,0.098622,0.0,0.0,0.264584,0.8,2.66,0.0215697999999999,0.0,0.3727,113.1789,0.693184,0.0
126,3685.794,0.100524,0.0,0.0,0.2746909999999999,0.8,2.66,0.0215692,0.0,0.366,113.1825,0.6939390000000001,0.0
127,3685.9464,0.100593,0.0,0.0,0.267769,0.8,2.66,0.0215687,0.0,0.3757,113.1861,0.6946939999999999,0.0
128,3686.0988,0.0969179999999999,0.0,0.0,0.217939,0.8,2.66,0.0215681,0.0,0.4447,113.1897,0.695449,0.0
129,3686.2512,0.100623,0.0,0.0,0.229055,0.8,2.66,0.0215675,0.0,0.4393,113.1934,0.696204,0.0
130,3686.4036,0.103594,0.0,0.0,0.237601,0.8,2.66,0.0215669,0.0,0.436,113.197,0.696959,0.0
131,3686.556,0.104354,0.0,0.0,0.231744,0.8,2.66,0.0215662999999999,0.0,0.4503,113.2006,0.6977140000000001,0.0
132,3686.7084,0.102869,0.0,0.0,0.2097639999999999,0.8,2.66,0.0215658,0.0,0.4904,113.2042,0.698469,0.0
